produit,marque,code_barre,prix,prix_num,categorie,magasin,url_magasin,url_produit
Levure boulangère extra fraîche,,8004503301055,"0,75 €",0.75,alimentaire_farine,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/levure-boulangere-extra-fraiche-8004503301055
Bananes rose vrac,,3276552313012,"0,75 €",0.75,alimentaire_fruits_legumes,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/bananes-rose-vrac-3276552313012
Savon Liquide Mains Parfum Coton NECTAR OF BEAUTY,NECTAR OF BEAUTY,3560071514754,"0,76 €",0.76,hygiene_savon,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/savon-liquide-mains-parfum-coton-nectar-of-beauty-3560071514754
Crème Lavante Recharge Mains Argan NECTAR OF BEAUTY,NECTAR OF BEAUTY,3560071514938,"0,76 €",0.76,hygiene_savon,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/creme-lavante-recharge-mains-argan-nectar-of-beauty-3560071514938
Savon Liquide Mains Amande & Orchidée NECTAR OF BEAUTY,NECTAR OF BEAUTY,3560071514815,"0,76 €",0.76,hygiene_savon,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/savon-liquide-mains-amande-orchidee-nectar-of-beauty-3560071514815
Savon Liquide Mains Olive Et Citron NECTAR OF BEAUTY,NECTAR OF BEAUTY,3560071514877,"0,76 €",0.76,hygiene_savon,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/savon-liquide-mains-olive-et-citron-nectar-of-beauty-3560071514877
Nouilles déshydratées saveur bœuf MAMEE,MAMEE,9555022300009,"0,77 €",0.77,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-deshydratees-saveur-boeuf-mamee-9555022300009
Pomelo rouge,,3000001035008,"0,79 €",0.79,alimentaire_fruits_legumes,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pomelo-rouge-3000001035008
Pâtes coquillettes CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070328857,"0,79 €",0.79,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-coquillettes-carrefour-classic-3560070328857
Liquide vaisselle Parfum De Synthèse SIMPLY CHOICE,SIMPLY CHOICE,3560071578107,"0,79 €",0.79,entretien_liquide_vaisselle,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/liquide-vaisselle-parfum-de-synthese-simply-choice-3560071578107
Pâtes fusilli classic CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070328826,"0,79 €",0.79,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-fusilli-classic-carrefour-classic-3560070328826
Pois chiches CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070273546,"0,79 €",0.79,alimentaire_conserves_simples,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pois-chiches-carrefour-classic-3560070273546
Pâtes macaroni CARREFOUR CLASSIC',CARREFOUR CLASSIC',3560070328949,"0,79 €",0.79,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-macaroni-carrefour-classic-3560070328949
Madeleine au chocolat,,3523680448773,"0,79 €",0.79,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/madeleine-au-chocolat-3523680448773
Endive vrac,,3000000025932,"0,79 €",0.79,alimentaire_fruits_legumes,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/endive-vrac-3000000025932
Savon Liquide Recharge Mains Lait LE PETIT MARSEILLAIS,LE PETIT MARSEILLAIS,3574661701028,"0,79 €",0.79,hygiene_savon,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/savon-liquide-recharge-mains-lait-le-petit-marseillais-3574661701028
